Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Saules BE;2732;3;Saules (BE);707;BE;2583364.0009999983;1232691.1380000003;fr
Schelten;2827;2;Schelten;708;BE;2608514.796;1242354.1339999996;de
Seehof;2747;2;Seehof;709;BE;2606529.3280000016;1239313.8880000003;de
Sorvilier;2736;0;Sorvilier;711;BE;2589932.283;1232063.8729999997;fr
Tavannes;2710;0;Tavannes;713;BE;2581728.493999999;1230091.6130000018;fr
La Tanne;2720;2;Tavannes;713;BE;2578552.166000001;1229999.7859999985;fr
Rebévelier;2717;2;Rebévelier;715;BE;2581390.0489999987;1237837.1810000017;fr
Châtelat;2715;1;Petit-Val;716;BE;2581520.8839999996;1235713.4849999994;fr
Monible;2715;2;Petit-Val;716;BE;2581963.833999999;1236187.3339999989;fr
Sornetan;2716;0;Petit-Val;716;BE;2582999.6460000016;1235931.0980000012;fr
Fornet-Dessous;2717;0;Petit-Val;716;BE;2579911.103;1236631.2580000013;fr
Souboz;2748;0;Petit-Val;716;BE;2585214.4180000015;1235933.3729999997;fr
Les Ecorcheresses;2748;2;Petit-Val;716;BE;2587970.3740000017;1236223.5340000018;fr
Pontenet;2733;0;Valbirse;717;BE;2586053.1510000005;1232016.9990000017;fr
Bévilard;2735;2;Valbirse;717;BE;2588171.5359999985;1231907.0219999999;fr
Malleray;2735;4;Valbirse;717;BE;2587602.412999999;1231942.1629999988;fr
La Neuveville;2520;0;La Neuveville;723;BE;2574052.210999999;1212660.5650000013;fr
Nods;2518;0;Nods;724;BE;2572803.91;1217986.2699999996;fr
Prêles;2515;0;Plateau de Diesse;726;BE;2576561.017999999;1216526.6400000006;fr
Lamboing;2516;0;Plateau de Diesse;726;BE;2577060.495000001;1218529.6110000014;fr
Diesse;2517;0;Plateau de Diesse;726;BE;2575621.3830000013;1217968.7950000018;fr
Aegerten;2558;0;Aegerten;731;BE;2588846.5639999993;1218917.3339999989;de
Bellmund;2564;0;Bellmund;732;BE;2585332.164000001;1217350.921;de
Brügg BE;2555;0;Brügg;733;BE;2587820.399;1219185.1499999985;de
Bühl b. Aarberg;3274;2;Bühl;734;BE;2585410.329;1213215.1799999997;de
Epsach;3272;2;Epsach;735;BE;2583524.800999999;1213295.1860000007;de
Hagneck;2575;2;Hagneck;736;BE;2580955.721000001;1211931.6779999994;de
Hermrigen;3274;0;Hermrigen;737;BE;2585216.6400000006;1214511.3649999984;de
Jens;2565;0;Jens;738;BE;2586710.5480000004;1216161.381000001;de
Ipsach;2563;0;Ipsach;739;BE;2584563.3839999996;1218494.5529999994;de
Ligerz;2514;0;Ligerz;740;BE;2576973.7399999984;1215027.199000001;de
Merzligen;3274;3;Merzligen;741;BE;2586006.8330000006;1215198.256000001;de
Mörigen;2572;2;Mörigen;742;BE;2582786.9299999997;1214837.5599999987;de
Nidau;2560;0;Nidau;743;BE;2584970.3680000007;1219358.4640000015;de
Orpund;2552;0;Orpund;744;BE;2590457.0639999993;1220703.4690000005;de
Port;2562;0;Port;745;BE;2586096.0659999996;1218486.6559999995;de
Safnern;2553;0;Safnern;746;BE;2591592.664000001;1222158.982999999;de
Scheuren;2556;0;Scheuren;747;BE;2591068.0760000013;1220421.2309999987;de
Schwadernau;2556;2;Schwadernau;748;BE;2590071.829;1219654.5009999983;de
Studen BE;2557;0;Studen (BE);749;BE;2589724.3610000014;1218015.1130000018;de
Sutz;2572;0;Sutz-Lattrigen;750;BE;2583169.0940000005;1217023.4699999988;de
Täuffelen;2575;0;Täuffelen;751;BE;2581772.620000001;1212702.109000001;de
Gerolfingen;2575;1;Täuffelen;751;BE;2581972.0639999993;1213804.6380000003;de
Walperswil;3272;0;Walperswil;754;BE;2584155.965999998;1212037.5300000012;de
Worben;3252;0;Worben;755;BE;2588889.5249999985;1216580.682;de
Tüscherz-Alfermée;2512;0;Twann-Tüscherz;756;BE;2581569.2630000003;1218318.6070000008;de
Twann;2513;0;Twann-Tüscherz;756;BE;2578837.3559999987;1216074.3249999993;de
Därstetten;3763;0;Därstetten;761;BE;2604368.3900000006;1167507.9510000013;de
Weissenburg;3764;0;Därstetten;761;BE;2602829.1460000016;1167474.6429999992;de
Oey;3753;0;Diemtigen;762;BE;2610774.658;1167641.2349999994;de
Diemtigen;3754;0;Diemtigen;762;BE;2609758.914999999;1166468.6730000004;de
Horboden;3755;0;Diemtigen;762;BE;2609614.6279999986;1164357.0439999998;de
Zwischenflüh;3756;0;Diemtigen;762;BE;2605895.969999999;1161801.3310000002;de
Schwenden im Diemtigtal;3757;0;Diemtigen;762;BE;2603714.664999999;1158205.7890000008;de
Latterbach;3758;0;Erlenbach im Simmental;763;BE;2610670.938000001;1168103.313000001;de
Erlenbach im Simmental;3762;0;Erlenbach im Simmental;763;BE;2608682.9959999993;1167754.4439999983;de
Oberwil im Simmental;3765;0;Oberwil im Simmental;766;BE;2599536.085999999;1167347.1009999998;de
Reutigen;3647;0;Reutigen;767;BE;2613834.1259999983;1171345.3000000007;de
Einigen;3646;0;Spiez;768;BE;2615858.149;1173156.8559999987;de
Spiez;3700;0;Spiez;768;BE;2618246.5650000013;1171084.1389999986;de
Hondrich;3702;0;Spiez;768;BE;2618501.1099999994;1169045.1149999984;de
Faulensee;3705;0;Spiez;768;BE;2620199.666000001;1169469.0179999992;de
Wimmis;3752;0;Wimmis;769;BE;2615048;1169101.7030000016;de
Höfen b. Thun;3631;0;Stocken-Höfen;770;BE;2609564.2809999995;1174672.3509999998;de
Niederstocken;3632;2;Stocken-Höfen;770;BE;2610281.2699999996;1173268.914999999;de
Oberstocken;3632;3;Stocken-Höfen;770;BE;2608851.482999999;1173849.0639999993;de
Guttannen;3864;0;Guttannen;782;BE;2665146.800999999;1167438.25;de
Hasliberg Hohfluh;6083;0;Hasliberg;783;BE;2656184.1440000013;1178086.2010000013;de
Hasliberg Wasserwendi;6084;0;Hasliberg;783;BE;2657969.276999999;1177553.4609999992;de
Hasliberg Goldern;6085;0;Hasliberg;783;BE;2658079.1510000005;1176773.2760000005;de
Hasliberg Reuti;6086;0;Hasliberg;783;BE;2658895.131000001;1176017.5870000012;de
Innertkirchen;3862;0;Innertkirchen;784;BE;2660576.539000001;1173101.0579999983;de
Gadmen;3863;0;Innertkirchen;784;BE;2669877.6719999984;1176755.4739999995;de
Unterbach BE;3857;0;Meiringen;785;BE;2651473.4409999996;1176664.0430000015;de
Meiringen;3860;0;Meiringen;785;BE;2657371.3029999994;1175635.1559999995;de
Brünig;3860;4;Meiringen;785;BE;2653445.8999999985;1178725.421;de
Rosenlaui;3860;2;Schattenhalb;786;BE;2654724.7580000013;1170066.4979999997;de
Schattenhalb;3860;3;Schattenhalb;786;BE;2657483.4409999996;1173141.2149999999;de
Boltigen;3766;0;Boltigen;791;BE;2596602.030000001;1164351.0940000005;de
Lenk im Simmental;3775;0;Lenk;792;BE;2600173.221000001;1145014.425999999;de
St. Stephan;3772;0;St. Stephan;793;BE;2597058.4800000004;1150468.6180000007;de
Matten (St. Stephan);3773;0;St. Stephan;793;BE;2598689.7760000005;1149159.9189999998;de
Zweisimmen;3770;0;Zweisimmen;794;BE;2594876.403999999;1155638.9640000015;de
Blankenburg;3771;0;Zweisimmen;794;BE;2596229.1050000004;1154470.6609999985;de
Oeschseite;3776;0;Zweisimmen;794;BE;2593315.829;1153299.9910000004;de
Feutersoey;3784;0;Gsteig;841;BE;2587095.778999999;1140740.7179999985;de
Gsteig b. Gstaad;3785;0;Gsteig;841;BE;2586812.068;1137046.5610000007;de
Lauenen b. Gstaad;3782;0;Lauenen;842;BE;2590962.0359999985;1141499.265999999;de
Abländschen;1657;0;Saanen;843;BE;2588821.153999999;1158428.386;de
Saanenmöser;3777;0;Saanen;843;BE;2590260.9400000013;1151804.7399999984;de
Schönried;3778;0;Saanen;843;BE;2588668.199000001;1150327.7600000016;de
Gstaad;3780;0;Saanen;843;BE;2588299.0650000013;1147082.5579999983;de
Turbach;3781;0;Saanen;843;BE;2592091.368999999;1147520.9439999983;de
Grund b. Gstaad;3783;0;Saanen;843;BE;2587374.272;1143813.8559999987;de
Saanen;3792;0;Saanen;843;BE;2586167.375;1148796.0249999985;de
Sangernboden;1738;0;Guggisberg;852;BE;2593480.6750000007;1173545.390999999;de
Riffenmatt;3156;0;Guggisberg;852;BE;2593452.8200000003;1179383.8880000003;de
Guggisberg;3158;0;Guggisberg;852;BE;2591643.083999999;1179499.3090000004;de
Riedstätt;3159;0;Guggisberg;852;BE;2590926.533;1181410.7230000012;de
Rüschegg Gambach;3153;0;Rüschegg;853;BE;2595066.642999999;1180562.5810000002;de
Rüschegg Heubach;3154;0;Rüschegg;853;BE;2597603.6389999986;1181207.4360000007;de
Lanzenhäusern;3148;0;Schwarzenburg;855;BE;2593026.41;1187864.8489999995;de
Schwarzenburg;3150;0;Schwarzenburg;855;BE;2592614.4189999998;1185096.6739999987;de
Mamishaus;3152;0;Schwarzenburg;855;BE;2595417.5190000013;1184292.0249999985;de
Milken;3157;0;Schwarzenburg;855;BE;2593896.745000001;1182381.5340000018;de
Albligen;3183;0;Schwarzenburg;855;BE;2590885.66;1188964.5830000006;de
Belp;3123;0;Belp;861;BE;2604715.109000001;1193312.3539999984;de
Belpberg;3124;0;Belp;861;BE;2606302.688000001;1190690.5089999996;de
Burgistein;3664;0;Burgistein;863;BE;2605080.0749999993;1182792.2589999996;de
Gerzensee;3115;0;Gerzensee;866;BE;2608298.329;1187468.4140000008;de
Gurzelen;3663;0;Gurzelen;867;BE;2607229.535;1180954.204;de
Jaberg;3629;3;Jaberg;868;BE;2609906.0020000003;1185219.454;de
Kaufdorf;3126;0;Kaufdorf;869;BE;2604581.4349999987;1187433.9710000008;de
Kehrsatz;3122;0;Kehrsatz;870;BE;2602659.721000001;1195726.2540000007;de
Kirchdorf BE;3116;0;Kirchdorf (BE);872;BE;2608544.039000001;1185488.0599999987;de
Mühledorf BE;3116;2;Kirchdorf (BE);872;BE;2606966.9860000014;1186318.7410000004;de
Noflen BE;3116;3;Kirchdorf (BE);872;BE;2607989.425999999;1183831.993999999;de
Gelterfingen;3126;2;Kirchdorf (BE);872;BE;2605873.7129999995;1188152.8999999985;de
Niedermuhlern;3087;0;Niedermuhlern;877;BE;2602035.6950000003;1190027.982999999;de
Rüti b. Riggisberg;3099;0;Riggisberg;879;BE;2600678.579;1181292.3839999996;de
Rümligen;3128;2;Riggisberg;879;BE;2604353.3649999984;1186654.2630000003;de
Riggisberg;3132;0;Riggisberg;879;BE;2602903.6440000013;1184496.8110000007;de
Rüeggisberg;3088;0;Rüeggisberg;880;BE;2600005.028000001;1185567.1319999993;de
Oberbütschel;3088;2;Rüeggisberg;880;BE;2601870.438000001;1187391.7509999983;de
Hinterfultigen;3089;0;Rüeggisberg;880;BE;2597140.9629999995;1187553.0859999992;de
Helgisried-Rohrbach;3155;0;Rüeggisberg;880;BE;2598861.3310000002;1184532.3889999986;de
Seftigen;3662;0;Seftigen;883;BE;2607791.3599999994;1181745.2300000004;de
Toffen;3125;0;Toffen;884;BE;2604132.050999999;1189710.9899999984;de
Uttigen;3628;0;Uttigen;885;BE;2610361.8960000016;1182449.1279999986;de
Wattenwil;3665;0;Wattenwil;886;BE;2605059.3550000004;1179930.3060000017;de
Zimmerwald;3086;0;Wald (BE);888;BE;2602404.409000002;1191708.0810000002;de
Englisberg;3086;2;Wald (BE);888;BE;2602268.034000002;1194087.8330000006;de
Mühlethurnen;3127;0;Thurnen;889;BE;2605264.4400000013;1184768.9250000007;de
Lohnstorf;3127;2;Thurnen;889;BE;2605510.1290000007;1183958.9250000007;de
Kirchenthurnen;3128;0;Thurnen;889;BE;2605164.3759999983;1185985.7699999996;de
Aeschau;3536;0;Eggiwil;901;BE;2624975.2129999995;1195360.563000001;de
Eggiwil;3537;0;Eggiwil;901;BE;2627226.522;1191539.7820000015;de
Langnau im Emmental;3550;0;Langnau im Emmental;902;BE;2626380.204999998;1199032.9079999998;de
Oberfrittenbach;3551;0;Langnau im Emmental;902;BE;2627498.199000001;1203019.7459999993;de
Bärau;3552;0;Langnau im Emmental;902;BE;2628360.829999998;1198055.9290000014;de
Gohl;3553;0;Langnau im Emmental;902;BE;2628141.386;1200608.5529999994;de
Lauperswil;3438;0;Lauperswil;903;BE;2622774.9739999995;1201761.489;de
Emmenmatt;3543;0;Lauperswil;903;BE;2623522.9910000004;1199706.9129999988;de
Röthenbach im Emmental;3538;0;Röthenbach im Emmental;904;BE;2623093.5670000017;1189287.868999999;de
Schwanden im Emmental;3433;0;Rüderswil;905;BE;2619463.4349999987;1203868.4809999987;de
Zollbrück;3436;0;Rüderswil;905;BE;2623031.710999999;1202793.1909999996;de
Rüderswil;3437;0;Rüderswil;905;BE;2621375.572999999;1203560.2699999996;de
Schangnau;6197;0;Schangnau;906;BE;2632438.0150000006;1186430.4589999989;de
Signau;3534;0;Signau;907;BE;2621774.9919999987;1196647.4990000017;de
Schüpbach;3535;0;Signau;907;BE;2622554.6209999993;1197544.688000001;de
Trub;3556;0;Trub;908;BE;2633408.162999999;1199210.1449999996;de
Fankhaus (Trub);3557;0;Trub;908;BE;2635768.392000001;1201905.3550000004;de
Trubschachen;3555;0;Trubschachen;909;BE;2631004.774;1196948.0410000011;de
Amsoldingen;3633;0;Amsoldingen;921;BE;2610743.9310000017;1175114.8559999987;de
Blumenstein;3638;0;Blumenstein;922;BE;2606247.4979999997;1176665.1070000008;de
Heimenschwand;3615;0;Buchholterberg;923;BE;2619735.7459999993;1186400.4979999997;de
Eriz;3619;0;Eriz;924;BE;2625874.5689999983;1181955.1119999997;de
Fahrni b. Thun;3617;0;Fahrni;925;BE;2616772.9750000015;1183012.1730000004;de
Heiligenschwendi;3625;0;Heiligenschwendi;927;BE;2618386.7179999985;1177826.0929999985;de
Heimberg;3627;0;Heimberg;928;BE;2612439.5439999998;1182062.5150000006;de
Hünibach;3626;0;Hilterfingen;929;BE;2616247.4809999987;1177138.6149999984;de
Hilterfingen;3652;0;Hilterfingen;929;BE;2617092.8249999993;1176634.2829999998;de
Homberg b. Thun;3622;0;Homberg;931;BE;2618724.655000001;1180664.9409999996;de
Horrenbach;3623;2;Horrenbach-Buchen;932;BE;2623966.405000001;1180792.5810000002;de
Buchen BE;3623;3;Horrenbach-Buchen;932;BE;2620660.835999999;1181295.3110000007;de
Oberhofen am Thunersee;3653;0;Oberhofen am Thunersee;934;BE;2617570.875;1175581.0760000013;de
Pohlern;3638;1;Pohlern;936;BE;2607386.1130000018;1174887.8559999987;de
Gunten;3654;0;Sigriswil;938;BE;2620102.5989999995;1173547.3159999996;de
Sigriswil;3655;0;Sigriswil;938;BE;2620843.5940000005;1174006.1900000013;de
Tschingel ob Gunten;3656;0;Sigriswil;938;BE;2620640.822999999;1174778.0940000005;de
Aeschlen ob Gunten;3656;1;Sigriswil;938;BE;2619898.028000001;1174323.0329999998;de
Ringoldswil;3656;2;Sigriswil;938;BE;2619559.9750000015;1175832.8079999983;de
Schwanden (Sigriswil);3657;0;Sigriswil;938;BE;2621222.4849999994;1176087.2589999996;de
Merligen;3658;0;Sigriswil;938;BE;2622865.954;1172011.9750000015;de
Steffisburg;3612;0;Steffisburg;939;BE;2615243.5632004337;1181298.3100000005;de
Steffisburg;3613;0;Steffisburg;939;BE;2613435.0590000004;1179999.6518471236;de
Schwendibach;3624;2;Steffisburg;939;BE;2617054.886;1179885.3940000013;de
Teuffenthal b. Thun;3623;0;Teuffenthal (BE);940;BE;2620812.8060000017;1179550.6490000002;de
Thierachern;3634;0;Thierachern;941;BE;2610309.938000001;1178111.0089999996;de
Thun;3600;0;Thun;942;BE;2614134.7037723223;1178264.2225000001;de
Thun;3603;0;Thun;942;BE;2612338.342;1178997.0839100578;de
Thun;3604;0;Thun;942;BE;2613913.9902505586;1176606.756000001;de
Thun;3608;0;Thun;942;BE;2612244.0395;1176539.5919727175;de
Goldiwil (Thun);3624;0;Thun;942;BE;2617309.0009999983;1178982.1209999993;de
Gwatt (Thun);3645;0;Thun;942;BE;2614102.403999999;1175272.7159999982;de
Uebeschi;3635;0;Uebeschi;943;BE;2608886.916000001;1176336.8610000014;de
Uetendorf;3661;0;Uetendorf;944;BE;2610330.545000002;1180406.6570000015;de
Unterlangenegg;3614;0;Unterlangenegg;945;BE;2619402.6050000004;1183029.2780000009;de
Schwarzenegg;3616;0;Unterlangenegg;945;BE;2621082.620000001;1182884.188000001;de
Süderen;3618;0;Wachseldorn;946;BE;2624249.2760000005;1185258.9059999995;de
Zwieselberg;3645;2;Zwieselberg;947;BE;2613662.4420000017;1173045.7399999984;de
Längenbühl;3636;0;Forst-Längenbühl;948;BE;2606899.6559999995;1178317.5289999992;de
Forst b. Längenbühl;3636;2;Forst-Längenbühl;948;BE;2606396.853;1179138.1000000015;de
Affoltern im Emmental;3416;0;Affoltern im Emmental;951;BE;2622494.807;1212651.9219999984;de
Weier im Emmental;3462;0;Affoltern im Emmental;951;BE;2623910.3029999994;1212441.8339999989;de
Häusernmoos im Emmental;3463;0;Affoltern im Emmental;951;BE;2623575.261;1214315.4140000008;de
Dürrenroth;3465;0;Dürrenroth;952;BE;2626782.9439999983;1215558.4899999984;de
Eriswil;4952;0;Eriswil;953;BE;2631296.829999998;1214204.5650000013;de
Huttwil;4950;0;Huttwil;954;BE;2631217.473000001;1218162.335000001;de
Schwarzenbach (Huttwil);4953;0;Huttwil;954;BE;2629891.1449999996;1217338.2800000012;de
Lützelflüh-Goldbach;3432;0;Lützelflüh;955;BE;2618532.9120000005;1206035.1620000005;de
Ramsei;3435;0;Lützelflüh;955;BE;2620520.318;1205300.9809999987;de
Ranflüh;3439;0;Lützelflüh;955;BE;2622769.723000001;1204209.5199999996;de
Grünenmatt;3452;0;Lützelflüh;955;BE;2621700.210999999;1206460.4880000018;de
Rüegsauschachen;3415;3;Rüegsau;956;BE;2616883.1380000003;1207486.5500000007;de
Rüegsau;3417;0;Rüegsau;956;BE;2617934.3669999987;1208219.2850000001;de
Rüegsbach;3418;0;Rüegsau;956;BE;2619239.2060000002;1209241.0240000002;de
Sumiswald;3454;0;Sumiswald;957;BE;2623288.653999999;1208570.8060000017;de
Grünen;3455;0;Sumiswald;957;BE;2622995.6460000016;1208254.5289999992;de
Wasen im Emmental;3457;0;Sumiswald;957;BE;2627244.4389999993;1210288.9710000008;de
Heimisbach;3453;0;Trachselwald;958;BE;2624511.6099999994;1206822.9459999986;de
Trachselwald;3456;0;Trachselwald;958;BE;2622744.5199999996;1207325.4030000009;de
Schmidigen-Mühleweg;3464;0;Walterswil (BE);959;BE;2623157.199000001;1216015.0980000012;de
Walterswil BE;4942;0;Walterswil (BE);959;BE;2625638.405000001;1218037.7430000007;de
Wyssachen;4954;0;Wyssachen;960;BE;2629300.397999998;1214311.0639999993;de
Attiswil;4536;0;Attiswil;971;BE;2613278.3999999985;1232860.4360000007;de
Berken;3376;2;Berken;972;BE;2620245.6950000003;1230572.8480000012;de
Bettenhausen;3366;0;Bettenhausen;973;BE;2621201.090999998;1224744.1640000008;de
Bollodingen;3366;2;Bettenhausen;973;BE;2620243.534000002;1223947.2600000016;de
Farnern;4539;2;Farnern;975;BE;2613558.7129999995;1235129.379999999;de
Graben;3376;0;Graben;976;BE;2621147.8189999983;1229408.335000001;de
Wanzwil;3372;0;Heimenhausen;977;BE;2619199.0760000013;1227582.0100000016;de
Röthenbach Herzogenbuchsee;3373;0;Heimenhausen;977;BE;2618547.8029999994;1228439.0489999987;de
Heimenhausen;3373;2;Heimenhausen;977;BE;2619643.3390000015;1229217.4010000005;de
Herzogenbuchsee;3360;0;Herzogenbuchsee;979;BE;2620895.3000000007;1227101.8139999993;de
Oberönz;3363;0;Herzogenbuchsee;979;BE;2619381.5819999985;1225418.0150000006;de
Inkwil;3375;0;Inkwil;980;BE;2617809.8159999996;1227856.1209999993;de
Niederbipp;4704;0;Niederbipp;981;BE;2619917.993999999;1235309.7199999988;de
Wolfisberg;4704;2;Niederbipp;981;BE;2616745.1290000007;1236018.3630000018;de
Niederönz;3362;0;Niederönz;982;BE;2619164.1900000013;1225964.4710000008;de
Oberbipp;4538;0;Oberbipp;983;BE;2616509.344999999;1234376.7030000016;de
Ochlenberg;3367;2;Ochlenberg;985;BE;2622556.6400000006;1222151.2980000004;de
Oschwand;3476;0;Ochlenberg;985;BE;2620815.7490000017;1221099.8399999999;de
Rumisberg;4539;0;Rumisberg;987;BE;2615224.278000001;1234986.2190000005;de
Grasswil;3365;0;Seeberg;988;BE;2617307.655000001;1221666.813000001;de
Seeberg;3365;2;Seeberg;988;BE;2617132.6970000006;1222687.9109999985;de
Riedtwil;3475;0;Seeberg;988;BE;2619609.2930000015;1221302.2129999995;de
Hermiswil;3475;1;Seeberg;988;BE;2619864.1750000007;1222806.3390000015;de
Thörigen;3367;0;Thörigen;989;BE;2622066.5040000007;1224929.4750000015;de
Walliswil b. Niederbipp;3380;2;Walliswil bei Niederbipp;990;BE;2619168.9290000014;1231858.131000001;de
Walliswil b. Wangen;3377;0;Walliswil bei Wangen;991;BE;2618499.221000001;1230909.693;de
Wangen an der Aare;3380;0;Wangen an der Aare;992;BE;2616461.890999999;1231688.8469999991;de
Wangenried;3374;0;Wangenried;993;BE;2616439.2580000013;1229599.8449999988;de
Wiedlisbach;4537;0;Wiedlisbach;995;BE;2615795.4789999984;1233544.199000001;de
Doppleschwand;6112;0;Doppleschwand;1001;LU;2646896.1149999984;1207725.9290000014;de
Entlebuch;6162;0;Entlebuch;1002;LU;2647625.232999999;1204763.1209999993;de
Rengg;6162;2;Entlebuch;1002;LU;2649636.4239999987;1206029.4160000011;de
Finsterwald b. Entlebuch;6162;3;Entlebuch;1002;LU;2650507.7080000006;1202703.4059999995;de
Ebnet;6163;0;Entlebuch;1002;LU;2648543.636;1208057.1959999986;de
Flühli LU;6173;0;Flühli;1004;LU;2643959.2470000014;1192804.2030000016;de
Sörenberg;6174;0;Flühli;1004;LU;2645300.283;1185974.197999999;de
Hasle LU;6166;0;Hasle (LU);1005;LU;2646620.772999998;1203413.6600000001;de
Fontannen b. Wolhusen;6110;2;Romoos;1007;LU;2641607.7969999984;1208468.6279999986;de
Romoos;6113;0;Romoos;1007;LU;2644512.9629999995;1206826.9180000015;de
Bramboden;6167;0;Romoos;1007;LU;2641610.846000001;1203252.0300000012;de
Schüpfheim;6170;0;Schüpfheim;1008;LU;2644237.9400000013;1200395.0340000018;de
Schachen LU;6105;0;Werthenstein;1009;LU;2653518.6799999997;1209934.7120000012;de
Werthenstein;6106;0;Werthenstein;1009;LU;2650512.2589999996;1211698.6889999993;de
Escholzmatt;6182;0;Escholzmatt-Marbach;1010;LU;2637792.3759999983;1195994.0830000006;de
Wiggen;6192;0;Escholzmatt-Marbach;1010;LU;2635904.3139999993;1193924.9849999994;de
Marbach LU;6196;0;Escholzmatt-Marbach;1010;LU;2635241.813000001;1189189.6660000011;de
Aesch LU;6287;0;Aesch (LU);1021;LU;2660592.614;1234064.0810000002;de
Ballwil;6275;0;Ballwil;1023;LU;2666896.9189999998;1222744.2140000015;de
Emmenbrücke;6020;0;Emmen;1024;LU;2663418.8790000007;1214369.0639999993;de
Emmen;6032;0;Emmen;1024;LU;2665603.6849999987;1214583.2939999998;de
Ermensee;6294;0;Ermensee;1025;LU;2660898.3900000006;1231086.4340000004;de
Eschenbach LU;6274;0;Eschenbach (LU);1026;LU;2666888.886;1220574.5229999982;de
Gelfingen;6284;0;Hitzkirch;1030;LU;2663093.3949999996;1229631.8139999993;de
Sulz LU;6284;2;Hitzkirch;1030;LU;2664404.3029999994;1230257.8330000006;de
Hitzkirch;6285;0;Hitzkirch;1030;LU;2662539.2580000013;1230806.3330000006;de
Retschwil;6285;2;Hitzkirch;1030;LU;2661751.045000002;1227204.879999999;de
Altwis;6286;0;Hitzkirch;1030;LU;2661269.875;1232264.5199999996;de
Müswangen;6289;0;Hitzkirch;1030;LU;2664400.8079999983;1232280.7589999996;de
Hämikon;6289;2;Hitzkirch;1030;LU;2663093.2190000005;1232157.5610000007;de
Hämikon;6289;2;Hitzkirch;1030;LU;2665213.335999999;1232832.3880000003;de
Mosen;6295;0;Hitzkirch;1030;LU;2659747.6559999995;1232734.9059999995;de
Hochdorf;6280;0;Hochdorf;1031;LU;2664779.386;1224344.364;de
Urswil;6280;2;Hochdorf;1031;LU;2664801.5130000003;1222416.7930000015;de
Baldegg;6283;0;Hochdorf;1031;LU;2663805.3220000006;1226417.493999999;de
Hohenrain;6276;0;Hohenrain;1032;LU;2666683.34;1225765.6900000013;de
Kleinwangen;6277;0;Hohenrain;1032;LU;2664867.8869999982;1227462.061999999;de
Lieli LU;6277;2;Hohenrain;1032;LU;2665162.864;1229109.5300000012;de
Inwil;6034;0;Inwil;1033;LU;2669177.6059999987;1219424.3110000007;de
Rain;6026;0;Rain;1037;LU;2662560.3960000016;1220188.7490000017;de
Römerswil LU;6027;0;Römerswil;1039;LU;2661204.2010000013;1224620.1640000008;de
Herlisberg;6028;0;Römerswil;1039;LU;2659973.5780000016;1227801.5639999993;de
Rothenburg;6023;0;Rothenburg;1040;LU;2663351.340999998;1216216.5949999988;de
Schongau;6288;0;Schongau;1041;LU;2662720.8260000013;1235685.890999999;de
Adligenswil;6043;0;Adligenswil;1051;LU;2670369.465999998;1213699.3110000007;de
Buchrain;6033;0;Buchrain;1052;LU;2668889.0760000013;1216371.4659999982;de
Perlen;6035;0;Buchrain;1052;LU;2670012.927000001;1218111.4329999983;de
Dierikon;6036;0;Dierikon;1053;LU;2670849.280000001;1216681.6510000005;de
Ebikon;6030;0;Ebikon;1054;LU;2668466.041000001;1214923.947999999;de
Gisikon;6038;0;Gisikon;1055;LU;2672889.0309999995;1220016.868999999;de
Greppen;6404;0;Greppen;1056;LU;2675324.4930000007;1212084.3990000002;de
Honau;6038;2;Honau;1057;LU;2673406.5100000016;1220660.7740000002;de
St. Niklausen LU;6005;2;Horw;1058;LU;2668558.5989999995;1207980.1460000016;de
Kastanienbaum;6047;0;Horw;1058;LU;2668066.142999999;1207319.9349999987;de
Horw;6048;0;Horw;1058;LU;2666453.3680000007;1207941.375;de
Kriens;6010;0;Kriens;1059;LU;2663882.3139999993;1209448.9360000007;de
Obernau;6012;0;Kriens;1059;LU;2661930.927000001;1209333.6559999995;de
Luzern;6003;0;Luzern;1061;LU;2665223.5156800505;1211360.329500001;de
Luzern;6004;0;Luzern;1061;LU;2665295.0727855144;1212484.8260000013;de
Luzern;6005;0;Luzern;1061;LU;2666622.699732594;1210180.0105000008;de
Luzern;6006;0;Luzern;1061;LU;2668011.2915000003;1211635.5502110845;de
Luzern;6014;0;Luzern;1061;LU;2661014.610131393;1212152.0190000013;de
Luzern;6015;0;Luzern;1061;LU;2663751.6885;1212860.8014802882;de
Malters;6102;0;Malters;1062;LU;2656608.995000001;1209702.3720000014;de
Meggen;6045;0;Meggen;1063;LU;2670930.4499999993;1211027.585000001;de
Meierskappel;6344;0;Meierskappel;1064;LU;2676184.4899999984;1219853.550999999;de
Root;6037;0;Root;1065;LU;2672323.4809999987;1218575.8500000015;de
Root D4;6039;0;Root;1065;LU;2670960.4910000004;1217469.6900000013;de
Eigenthal;6013;0;Schwarzenberg;1066;LU;2659361.4990000017;1206517.1629999988;de
Schwarzenberg LU;6103;0;Schwarzenberg;1066;LU;2655926.993999999;1207488.0089999996;de
Udligenswil;6044;0;Udligenswil;1067;LU;2672938.3260000013;1216014.0500000007;de
Vitznau;6354;0;Vitznau;1068;LU;2679473.2030000016;1207120.421;de
Weggis;6353;0;Weggis;1069;LU;2675680.693;1209552.745000001;de
Rigi Kaltbad;6356;0;Weggis;1069;LU;2678450.754999999;1210840;de
Neudorf;6025;0;Beromünster;1081;LU;2658464.41;1225359.3819999993;de
